***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 22.0.2 - Marco de 2026 (CPLEX)                         *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - ABRIL/26 - MAIO/26 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPERADO  - Data do Caso: 12/04/2026                                                       
____________________________________________________________________

-----------------------------
Titulacao das usinas Termicas                                                   
-----------------------------
----------------------------------------------------------------------------------------------------
IPER:            Indice do periodo.                                                                                                                                                                     
USIT:            Numero de cadastro da usina termoeletrica                                                                                                                                              
Nome Usit:       Nome da usina termoeletrica                                                                                                                                                            
NomeSist:        Nome do subsistema                                                                                                                                                                     
Gter:            Geracao Termoeletrica                                                                                                                                                                  
Ordem Merito:    Titulacao da usina termica por Ordem Merito                                                                                                                                            
Inflexibilidade: Titulacao da usina termica devido a inflexibilidade                                                                                                                                    
GERACAO UC:      Geracao da usina termica devido a restricoes de UC                                                                                                                                     
TOFF:            Montante de geracao das unidades que estao cumprindo tempo minimo desligada (TOFF).                                                                                                    
ORD.MER.TOTAL:   Indica que a usina esta na ordem de merito gerando o maximo .                                                                                                                          
----------------------------------------------------------------------------------------------------

-----;-----;--------------;--------;---------;------------;-----------------;------------;------------;-------------;
IPER ;USIT ;  Nome Usit   ;NomeSist;  Gter   ;Ordem Merito; Inflexibilidade ; GERACAO UC ;    TOFF    ;ORD.MER.TOTAL;
  -  ;  -  ;      -       ;   -    ;  (MW)   ;     MW     ;       MW        ;     MW     ;     -      ;      -      ;
-----;-----;--------------;--------;---------;------------;-----------------;------------;------------;-------------;
   1 ; 098 ; PERNAMBU_III ; NE     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 106 ; ERB CANDEIAS ; NE     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 107 ; PAMPA SUL    ; S      ;   345.00;     345.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   1 ; 108 ; XAVANTES     ; SE     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 110 ; N.PIRATININ  ; SE     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 116 ; PARNAIBA IV  ; N      ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 137 ; GNA I        ; SE     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 140 ; MAUA 3       ; N      ;   264.00;     264.00 ;          264.00 ;       0.00 ;       0.00 ;     MAX     ;
   1 ; 144 ; PETROLINA    ; NE     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 146 ; STA VITORIA  ; SE     ;    38.00;      38.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 147 ; PROSPERID. 1 ; NE     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 149 ; SAO SEPE     ; S      ;     8.00;       8.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   1 ; 151 ; POTIGUAR     ; NE     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 152 ; TERMOCABO    ; NE     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 153 ; DAIA         ; SE     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 156 ; CANDIOTA 3   ; S      ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 161 ; POTIGUAR III ; NE     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 162 ; PECEM II     ; NE     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 163 ; P. PECEM II  ; NE     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 167 ; P. PECEM I   ; NE     ;   240.00;       0.00 ;            0.00 ;     240.00 ;       0.00 ;             ;
   1 ; 170 ; SUAPE II     ; NE     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 176 ; PORTO ITAQUI ; N      ;   240.00;       0.00 ;            0.00 ;     240.00 ;       0.00 ;             ;
   1 ; 182 ; PALMEIRAS GO ; SE     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 194 ; T.NORTE 2    ; SE     ;     0.00;       0.00 ;            0.00 ;       0.00 ;       0.00 ;             ;
   1 ; 201 ; APARECIDA    ; N      ;   120.00;     120.00 ;           95.00 ;       0.00 ;       0.00 ;     MAX     ;
   1 ; 203 ; PORAQUE      ; N      ;    68.00;      68.00 ;           50.00 ;       0.00 ;       0.00 ;     MAX     ;
   1 ; 204 ; JARAQUI      ; N      ;    63.00;      63.00 ;           50.00 ;       0.00 ;       0.00 ;     MAX     ;
   1 ; 205 ; PIRARUCU     ; N      ;    67.00;      67.00 ;           66.00 ;       0.00 ;       0.00 ;     MAX     ;
   1 ; 207 ; TUCUNARE     ; N      ;    67.00;      67.00 ;           66.00 ;       0.00 ;       0.00 ;     MAX     ;
   1 ; 209 ; TAMBAQUI     ; N      ;    63.00;      63.00 ;           56.00 ;       0.00 ;       0.00 ;     MAX     ;
   1 ; 211 ; BAIXADA FLU  ; SE     ;   530.00;     530.00 ;            0.00 ;       0.00 ;       0.00 ;     MAX     ;
   1 ; 212 ; MARANHAO III ; N      ;   248.00;       0.00 ;            0.00 ;     248.00 ;       0.00 ;             ;
